48.0,c1de04f39fa9,2016-08-02
47.0,b0310cb90fd0,2016-06-07
46.0,078baf501b55,2016-04-26
45.0,b6609650a911,2016-03-08
44.0,9b79adf82b13,2016-01-26
43.0,fc05d86dc310,2015-12-15
42.0,e2f9a0ed50bc,2015-11-03
41.0,78c82e5cd777,2015-09-22
40.0,84e0a4087157,2015-08-11
39.0,d3b3e57e8088,2015-07-02
38.0,4c4dc6640c7e,2015-05-12
37.0,29182ac68a26,2015-03-31
36.0,88c5342693e3,2015-02-24
35.0,32e36869f84a,2015-01-13
34.0,456394191c90,2014-12-01
33.0,1f22a8cc7aa5,2014-10-14
32.0,44234f451065,2014-09-02
31.0,32dddf30405a,2014-07-22
30.0,529a45c94e5a,2014-06-10
29.0,f60bc49e6bd5,2014-04-29
28.0,5f7c149b07ba,2014-03-18
27.0,b8896fee530d,2014-02-04
26.0,39faf812aaec,2013-12-10
25.0,d86ad7db1de3,2013-10-29
24.0,7c3b0732e765,2013-09-17
23.0,5efffaf39814,2013-08-06
22.0,0d4b9c74be55,2013-06-25
21.0,30ec6828d10e,2013-05-14
20.0,c90d44bfa96c,2013-04-02
19.0,20238b786063,2013-02-19
18.0,8efe34fa2289,2013-01-08
17.0,919435c6f654,2012-11-20
16.0,10fe550fadc6,2012-10-09
15.0,450143d2d810,2012-08-28
14.0.1,5ca6bd1f2bdf,2012-07-17
13.0,2b643ea8edf9,2012-06-05
12.0,a294a5b4f12d,2012-04-24
11.0,b967d9c07377,2012-03-13
10.0,baefae4b6685,2012-01-31
9.0,34852484d0ae,2011-12-20
8.0,d03b51a9b2bd,2011-11-08
7.0,273977a2c0ea,2011-09-27
6.0,218ed8178b1e,2011-08-16
5.0,7b56ff900c2a,2011-06-21
4.0.1,fca718600ca0,2011-04-28