Uplift ID,Fault ID,Severity
1269325,1271847,R
1082178,1162218,U
1173634,1185392,R
1206211,1216748,S
1108035,1123966,R
1225003,1230692,S
1059797,1239789,R
1167248,1236619,U
1120023,1296453,R
1151495,1200004,R
1253379,1263028,R
1113062,1125940,U
1199224,1224994,R
1216658,1272332,U
1160295,1195844,
1102642,1195073^1175058^1259916^1186257,U
1219330,1293772,U
1257242,1275040^1275039,
1072044,1172785^1136871,U
1249312,1249659,
1065909,1147497^1125503,R
1081911,1153724,S
1211000,1243453,U
1107684,1174486^1147215,R
1200021,1230740,S
1163239,1183433,U
1129369,1197943,U
1139271,1148203^1149278^1271847,R
1089833,1177013,R
1141081,1235573,U
1051822,1201051^1212349,R
1112410,1122586,U
1182411,1284939^1222662^1257759,U
1063848,1065880,
1085266,1124880,R
1128769,1209751,U
1271847,1278005,S
1063733,1069369^1067018^1078211,U
1131638,1161416^1145101^1143575,R
1085175,1138072^1096721,U
1212499,1253386,S
1232268,1239066,
1150277,1268984,U
1203616,1276483,U
1126723,1136827,U
1234422,1237582^1257759,R
1196696,1267637,S
1196398,1229339^1253471,U
1054972,1070955^1062612,R
1187067,1264622,U
1205456,1209843,S
1055904,1134064^1133625,R
1151361,1179051,
1123498,1269408,R
1064481,1074963,U
1108838,1147226^1116676^1240478,R
1180101,1244523,R
1073345,1173195,U
1073825,1240025,U
1170211,1197296,S
1060114,1138934,S
1121692,1143575^1129247,
1126465,1128576^1129877^1129247,R
1120629,1126088,R
1160321,1208349,R
1147521,1153145^1155241,S
1093316,1174450,U
1268569,1276869,
1243538,1266013,U
1213646,1269254,U
1233819,1283594,U
1120128,1171094,U
1127213,1136360^1143968^1136107^1133190,R
1200059,1207439,S
1123452,1283724,U
1219134,1236746^1239066,R
1135408,1144900^1279063,R
1102538,1155618^1115847^1243754^1148661^1138391^1249493,
1079729,1155059,U
1138253,1143575,
1121876,1123269,
1290365,1293206,U
1125503,1147497,R
1208043,1224994,R
1194817,1198730,U
1183433,1185392,R
1173725,1186886,R
1194576,1221825,R
1062920,1162218,S
1146201,1288976^1268984^1278198^1207439,R
1092842,1226904,R
1111160,1173634^1133583,U
1167883,1274922,
1121332,1289942,U
1185820,1251697,U
1193387,1200656^1200187,U
1060738,1181896^1103188^1154389^1224766^1213517,U
1175783,1183433,U
1074765,1074765,
1259042,1263572,U
1061327,1088984^1091296,U
1062876,1181896^1257950,
1112972,1200413^1151309,S
1141931,1230408^1181890^1274443^1229437^1156222,
1137614,1159840,U
1148071,1183433^1163239,R
1124031,1237842,R
1223193,1239504,U
1111971,1171716^1164567,U
1089364,1147728^1104008^1135271,R
1244523,1251184^1254731,R
1264187,1272160,R
1170143,1179051,
1175104,1179051,
1143299,1153695,U
1232069,1253471,U
1212328,1277267^1290422,
1240985,1240985^1257314,S
1064320,1191936^1200341,
1267980,1276930,S
1177505,1216096,R
1257234,1259699,R
1123535,1161416^1173657,S
1132468,1176551,U
1105194,1227136,U
1190257,1256547,U
1075199,1137489^1160914,U
1262731,1264403,
1146874,1256992,S
1119033,1125776,U
1119803,1121148,R
1185115,1216748,S